PhraseID,old_file,new_file,status
4115,3960_cxu_vi_havas_karavanon.wav,3960_cxu_vi_havas_ruldomon.wav,moved_to:3960_cxu_vi_havas_karavanon.wav
4131,3976_cxu_vi_povas_alporti_vian_propran_grilon.wav,3976_cxu_vi_povas_alporti_vian_propran_rostokradon.wav,moved_to:3976_cxu_vi_povas_alporti_vian_propran_grilon.wav
4151,3996_kiel_pri_promeno_en_la_arbaro.wav,3996_kion_vi_diras_pri_promeno_en_la_arbaro.wav,moved_to:3996_kiel_pri_promeno_en_la_arbaro.wav
4176,4021_cxu_iu_volus_ludi_dartojn.wav,4021_cxu_iu_volus_ludi_sagetojn.wav,moved_to:4021_cxu_iu_volus_ludi_dartojn.wav
4181,4026_sxi_kultivas_sojon.wav,4026_sxi_kultivas_sojfabojn.wav,moved_to:4026_sxi_kultivas_sojon.wav
4197,4042_sxi_rakis_la_foliojn_en_amason.wav,4042_sxi_rastis_la_foliojn_en_amason.wav,moved_to:4042_sxi_rakis_la_foliojn_en_amason.wav
4210,4055_cxu_vi_sxatus_tukon.wav,4055_cxu_vi_sxatus_mantukon.wav,moved_to:4055_cxu_vi_sxatus_tukon.wav
4214,4059_mi_metos_la_bolkrucxon.wav,4059_mi_boligos_akvon.wav,moved_to:4059_mi_metos_la_bolkrucxon.wav
4223,4068_cxu_vi_sxatus_toston.wav,4068_cxu_vi_sxatus_toaston.wav,moved_to:4068_cxu_vi_sxatus_toston.wav
4227,4072_la_bolilo_bolis.wav,4072_la_akvo_jam_bolas.wav,moved_to:4072_la_bolilo_bolis.wav
4240,4085_cxu_vi_sxatus_ginon_kun_toniko.wav,4085_cxu_vi_sxatus_gxinon_kun_toniko.wav,moved_to:4085_cxu_vi_sxatus_ginon_kun_toniko.wav
4267,4112_kia_estas_la_provizio.wav,4112_kiom_estas_la_provizio.wav,moved_to:4112_kia_estas_la_provizio.wav
4294,4139_cxu_mi_povus_ricevi_kontoekstrakton_mi_petas.wav,4139_cxu_mi_povus_ricevi_konteltiron_mi_petas.wav,moved_to:4139_cxu_mi_povus_ricevi_kontoekstrakton_mi_petas.wav
