row	esperanto	column	matched_tokens	current
751	kavo	Japanese_Trans	kresto	{Ｂ}穴, 空洞, くぼみ, へこみ; 【解】腔（こう）, 窩（か）; 【理】（波の）谷, >>kresto
758	kaŭĉuko	Japanese_Trans	gumo	{Ｂ}【化】弾性ゴム, ゴム, >>gumo
764	kerno	Japanese_Trans	nukleo	{Ｂ}核, 種（たね）, 芯（しん）; 《転》核心; 【理】核, =nukleo
772	kino	Japanese_Trans	filmo	{Ｂ}映画, 映画制作, >>filmo
793	koleri	Japanese_Trans	pri|pro	{Ｂ}［自］怒る, 腹を立てる（pri/pro〜）; ［他］まれ
797	kolono	Japanese_Trans	kolumno	{Ｂ}【建】円柱, 柱; 記念柱; 《転》柱状のもの; 《転》大黒柱（人）; 【印】=kolumno（欄）; 【軍】縦隊
799	kolumno	Japanese_Trans	vertikalo	{Ｂ}【印】（縦の）欄; （新聞の）コラム; （縦の）列; 【遊】（チェス盤などの）縦列, =vertikalo; 【数】（数の）桁（けた）
803	komedio	Japanese_Trans	tragedio	{Ｂ}喜劇, コメディー, ><tragedio; 《転》茶番, 見せかけの芝居, >>farso
842	konscii	Japanese_Trans	pri	{Ｂ}［自］意識している, 自覚している（pri/keで補語を取る）
851	konstati	Japanese_Trans	konfirmi	{Ｂ}［他］（調べて）確認する, 確かめる, 確証する, >>konfirmi
857	kontrakti	Japanese_Trans	pri	{Ｂ}［自・他］（pri）契約する, 契約を結ぶ
859	kontroli	Japanese_Trans	regi	{Ｂ}［他］検査する, 点検する, 照合する, チェックする, 調べる, >>regi
872	korvo	Japanese_Trans	korniko	{Ｂ}【鳥】カラス（属）（鴉、烏）, >>korako, >>korniko, >>monedo
873	kosmo	Japanese_Trans	universo	{Ｂ}【天】宇宙, >>universo; 《転》完全体系, ><kaoso
877	kotono	Japanese_Trans	vato	{Ｂ}綿（めん）, 綿花; 木綿, >>vato
887	kredito	Japanese_Trans	debeto	{Ｂ}【商】信用; 掛け, 信用貸; （簿記の）貸方, ><debeto
907	kruro	Japanese_Trans	piedo	{Ｂ}（人・動物の）脚, 足（全体）; 【解】すね, 脚（膝から足首まで）, >>piedo; 《転》脚部
